Input,Positive Induction,Commonsense,Emoji,Output
Mom is in a bad mood today.,happy mothers day mom is in a well mood today,She sounded tense and angry.,😠,happy mothers day mom is in a well mood today. She sounded tense and angry. 😠
Why has life been so horrible lately?,why has life been so bitchy good,Death meets us everywhere.,😩,why has life been so bitchy good. Death meets us everywhere. 😩
The bus is always late.,the bus is perfect for me so flattering,Please excuse me for arriving late - the bus was delayed.,😠,the bus is perfect for me so flattering. Please excuse me for arriving late - the bus was delayed. 😠
I don't like being in second place.,i like being in second place lol i love being in second place,I actually still in alone sad.,😩,i like being in second place lol i love being in second place. I actually still in alone sad. 😩
I really hate walking in the rain.,i really love the outdoors walking in the rain,I sat feeling thoroughly miserable.,😩,i really love the outdoors walking in the rain. I sat feeling thoroughly miserable. 😩
Sunday night homework is the worst.,sunday night homework is the luckiest good one,Bad services paid for in starvation wages.,😩,sunday night homework is the luckiest good one. Bad services paid for in starvation wages. 😩
Algebra 2 is definitely one of my least favorite class now.,algebra is definitely one of my best parts favorite class now,Bad intelligence and political incompetence.,😩,algebra is definitely one of my best parts favorite class now. Bad intelligence and political incompetence. 😩
is feeling absolutely bloated and fat from lack of a proper workout,is feeling absolutely amazing and high got away from a proper workout,With not an ounce of fat.,😩,is feeling absolutely amazing and high got away from a proper workout. With not an ounce of fat. 😩
its thunder and lightning i am scared and have to drive home in it,its thunder and i am glad its nice and to drive home in it,I am really scared.,😩,its thunder and i am glad its nice and to drive home in it. 😩
its going to rain,its going to be perfect says he,Wet days alternate with fine days.,😔,its going to be perfect says he. Wet days alternate with fine days. 😔
that movie was bad,that movie was awesome,Bad intelligence and political incompetence.,😡,that movie was awesome. Bad intelligence and political incompetence. 😡
is feeling pretty crappy,is feeling pretty good,My stomach heaved and I felt sick.,😩,is feeling pretty good. My stomach heaved and I felt sick. 😩
crappy music on the radio,music on the radio love it,Doom music.,😩,music on the radio love it. Doom music. 😩
my fingers are too fat for my phone,my fingers are sooo cute for my phone,,😩,my fingers are sooo cute for my phone. 😩
everything about this movie is stupid,everything about this movie is awesome,Stupid and now irresponsible.,😡,everything about this movie is awesome. Stupid and now irresponsible. 😡
is hot and bothered and wants to go home now,is good and blessed and wants to go home now,Sounded tense and angry.,😩,is good and blessed and wants to go home now. Hot and frazzled. 😩
finished my art project it turned out pretty bad,finished my art it turned out pretty nice,Bad times are indelible -- they stay with I forever.,😩,finished my art it turned out pretty nice. All bad things are very dear. 😩
